GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - No bedroom,Margin of Error; Median gross rent -- - Total: - No bedroom,Estimate; Median gross rent -- - Total: - 1 bedroom,Margin of Error; Median gross rent -- - Total: - 1 bedroom,Estimate; Median gross rent -- - Total: - 2 bedrooms,Margin of Error; Median gross rent -- - Total: - 2 bedrooms,Estimate; Median gross rent -- - Total: - 3 bedrooms,Margin of Error; Median gross rent -- - Total: - 3 bedrooms,Estimate; Median gross rent -- - Total: - 4 bedrooms,Margin of Error; Median gross rent -- - Total: - 4 bedrooms,Estimate; Median gross rent -- - Total: - 5 or more bedrooms,Margin of Error; Median gross rent -- - Total: - 5 or more bedrooms
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",502,211,-,**,-,**,435,203,-,**,-,**,-,**
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",467,80,-,**,-,**,410,274,618,32,437,209,-,**
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",523,87,-,**,-,**,527,205,553,123,-,**,-,**
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",615,118,-,**,-,**,-,**,603,212,-,**,-,**
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",672,82,-,**,-,**,634,492,679,77,-,**,-,**
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",303,88,-,**,258,86,368,136,335,274,-,**,-,**
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",520,24,-,**,225,139,455,87,567,127,939,540,-,**
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",512,77,-,**,-,**,523,401,817,627,-,**,-,**
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",682,156,-,**,-,**,-,**,677,104,-,**,-,**
