DCED Code 2012,Census Code,Municipality Type,County Name,Municipal Name,"Poplation, 2015","% Population 65+ Years Old, 2011-2015","% Housing Units Vacant, 2011-2015","% Homeowners (Owner-Occupied Housing Units), 2011-2015","Median Housing Values, 2011-2015",% Persons 25+ Years Old with Bachelor's Degree or Higher. 2011-2015,"Median Household Income, 2011-2015","Unemployment Rate, 2011-2015","% Families Below Poverty Level, 2011-2015"
10033,4200100116,Boro,Adams,Abbottstown Borough,943,10.7,4.9,78.1,146100,8.2,56641,10.9,4.2
10063,4200102928,Boro,Adams,Arendtsville Borough,910,7.8,8.5,61.8,166700,17.1,51700,3.5,17.6
10093,4200105536,Boro,Adams,Bendersville Borough,738,10.8,7.6,72.7,166200,13.7,57292,9.9,13.0
10125,4200105880,2nd Twp,Adams,Berwick Township,2229,20.4,5.7,84.0,154000,14.4,59286,3.1,9.8
10153,4200106296,Boro,Adams,Biglerville Borough,1195,17.6,3.2,57.5,173000,20.8,46923,4.5,11.2
10183,4200107560,Boro,Adams,Bonneauville Borough,1881,12.2,7.8,73.2,172700,12.0,55167,11.2,9.8
10193,4200111472,Boro,Adams,Carroll Valley Borough,3900,12.1,9.0,94.9,218800,37.0,85417,4.0,0.0
10215,4200110456,2nd Twp,Adams,Butler Township,2561,18.2,6.0,78.7,195200,16.8,55956,8.0,8.4
10245,4200115632,2nd Twp,Adams,Conewago Township,7144,18.8,1.9,80.5,176600,21.8,62309,3.5,3.2
10275,4200117640,2nd Twp,Adams,Cumberland Township,6212,27.1,8.9,82.5,227200,29.9,69792,5.2,7.4
10303,4200120792,Boro,Adams,East Berlin Borough,1418,15.4,4.0,63.8,172400,17.0,56827,5.7,6.6
10333,4200124560,Boro,Adams,Fairfield Borough,543,30.4,10.3,70.3,187900,22.5,51875,4.2,10.5
10365,4200127320,2nd Twp,Adams,Franklin Township,4886,16.9,10.7,80.4,197400,23.5,61088,3.9,2.2
10395,4200127704,2nd Twp,Adams,Freedom Township,818,27.1,3.8,82.0,279400,32.7,71667,6.2,3.3
10425,4200128936,2nd Twp,Adams,Germany Township,2712,15.6,2.9,91.6,227900,23.3,75833,3.4,3.4
10453,4200128960,Boro,Adams,Gettysburg Borough,7615,11.0,9.8,37.5,213300,29.2,36000,9.0,17.2
10485,4200132144,2nd Twp,Adams,Hamilton Township,2542,16.9,7.1,92.7,218500,19.3,72383,4.0,2.1
10515,4200132200,2nd Twp,Adams,Hamiltonban Township,2216,23.4,12.0,86.6,168600,18.0,57333,3.7,4.6
10545,4200134424,2nd Twp,Adams,Highland Township,1017,19.1,6.4,90.4,273100,39.0,67917,5.2,4.3
10575,4200136424,2nd Twp,Adams,Huntington Township,2248,19.7,7.7,83.7,209900,15.1,53152,5.7,7.3
10605,4200141672,2nd Twp,Adams,Latimore Township,2586,15.3,11.3,84.2,203200,19.7,74667,6.3,1.0
10635,4200143056,2nd Twp,Adams,Liberty Township,1384,18.6,6.5,84.4,229700,22.9,62500,3.2,2.0
10663,4200143944,Boro,Adams,Littlestown Borough,4442,14.8,6.6,61.5,172200,17.8,55902,5.3,8.8
10693,4200146376,Boro,Adams,McSherrystown Borough,3049,18.6,4.5,53.9,152000,7.9,36456,4.1,5.0
10725,4200148608,2nd Twp,Adams,Menallen Township,3520,14.3,12.6,78.8,177600,17.3,64412,5.0,3.1
10755,4200151640,2nd Twp,Adams,Mount Joy Township,3680,24.4,5.2,90.4,280500,40.3,70566,6.8,1.6
10785,4200151776,2nd Twp,Adams,Mount Pleasant Township,4693,15.7,8.9,86.9,184600,16.8,60352,6.0,5.4
10813,4200153920,Boro,Adams,New Oxford Borough,2286,14.2,7.7,50.8,153600,13.0,45543,5.9,15.9
