Township/Boro,average_residential_home value
Bedminster Twp,38383
Bensalem Twp,23470
Bridgeton Twp,30553
Bristol Boro,17777
Bristol Twp,18131
Buckingham Twp,16588
Chalfont Boro,29745
Doylestown Boro,29410
Doylestown Twp,40638
Dublin Boro,26244
Durham Twp,39931
E Rockhill Twp,34143
Falls Twp,19796
Haycock Twp.,35539
Hilltown Twp,36182
Hulmeville Boro,25236
Ivyland Boro,32618
Langhorne Boro,27691
Langhorne Manor Boro,33383
Lower Makefield Twp,42048
Lower South Twp,25291
Middletown Twp,29333
Milford Twp,30500
Morrisville Boro,18064
New Britain Boro,24928
New Britain Twp,34321
New Hope Boro,46651
Newtown Boro,42365
Newtown Twp,38764
Nockamixon Twp,36353
Northampton Twp,39812
Penndel Boro,20794
Perkasie Boro,26988
Plumstead Twp,38613
Quakertown Boro,19841
Richland Twp,23348
Richlandtown Boro,21401
Riegelsville Boro,23223
Sellersville Boro,21997
Silverdale Boro,29285
Solebury Twp,65238
Springfield Twp,38431
Telford Boro,24267
Tinicum Twp,44487
Trumbauersville Boro,23696
Tullytown Boro,18027
Upper Makefield Twp,72580
Upper South Twp,29107
Warminster Twp,25553
Warrington Twp,36731
Warwick Twp,39867
West Rockhill Twp,34143
Wrightstown Twp,61751
Yardley Boro,26473
