county_name,poplation_2015
Adams,101767
Allegheny,1230337
Armstrong,67979
Beaver,169062
Bedford,49086
Berks,413957
Blair,126323
Bradford,62228
Bucks,624370
Butler,185689
Cambria,139506
Cameron,4869
Carbon,64634
Centre,157823
Chester,509797
Clarion,39443
Clearfield,81318
Clinton,39614
Columbia,66912
Crawford,87343
Cumberland,242505
Dauphin,271094
Delaware,561683
Elk,31370
Erie,279858
Fayette,134841
Forest,7581
Franklin,151207
Fulton,14694
Greene,37938
Huntingdon,45906
Indiana,87895
Jefferson,44781
Juniata,24829
Lackawanna,213459
Lancaster,530224
Lawrence,89885
Lebanon,135776
Lehigh,337159
Luzerne,320095
Lycoming,116656
McKean,42884
Mercer,115320
Mifflin,46675
Monroe,167881
Montgomery,815183
Montour,18508
Northampton,319213
Northumberland,94006
Perry,45677
Philadelphia,1555072
Pike,56632
Potter,17377
Schuylkill,146360
Snyder,40046
Somerset,76627
Sullivan,6381
Susquehanna,42369
Tioga,42284
Union,44958
Venango,53917
Warren,40962
Washington,208764
Wayne,51642
Westmoreland,361521
Wyoming,28147
York,439660
